Color,Magnitude
2.068711655844168718e-02,2.556008205074074624e+01
-5.316363913818875631e-01,2.551848277133140641e+01
-2.500422042894037133e-01,2.486842815740228829e+01
-3.807060662754686575e-01,2.565647051520469901e+01
-4.256477478330467079e-02,2.532719120510937927e+01
-3.790145467528205359e-01,2.571556016923140220e+01
1.251113454532131186e-01,2.489416107424214886e+01
1.744418329474264340e-01,2.524926690036018329e+01
1.115183435049441840e+00,2.491490141285403936e+01
-3.805640614944643119e-01,2.552704722078916078e+01
-5.293752071137340920e-01,2.540383919465544338e+01
-1.895196191722909873e-01,2.518955813367248453e+01
-5.730982249208338430e-01,2.539028022632887627e+01
-1.477491668160837435e-01,2.569698116234081908e+01
3.738645535054558877e-01,2.538613118489158182e+01
2.813741785097612080e-01,2.518625248509544079e+01
-4.935848062192853547e-01,2.555206458936283198e+01
-1.376752788385076087e-01,2.510128323867968447e+01
3.921364844172892106e-01,2.521834134967838281e+01
4.819316900107111223e-01,2.537993556967330022e+01
-2.388843292479130298e-01,2.513377935785690553e+01
-5.520043526681135404e-01,2.594724536266621229e+01
1.286098759750906595e-01,2.532803308211425630e+01
6.940599985728823640e-02,2.529542431072373176e+01
-1.789824445018730614e-01,2.550904502256397777e+01
-2.644118600491189852e-01,2.509360961965542813e+01
-7.994962189029308774e-02,2.543110517113316504e+01
5.887138386960195646e-01,2.517616885018887274e+01
1.179655280908029624e-01,2.512182271798245381e+01
-2.352120000998603189e-01,2.557699249205049341e+01
2.284314071485127329e-02,2.531082300725041989e+01
-4.729726440214996330e-01,2.592591372953174300e+01
7.479897046320047593e-01,2.473128138765890682e+01
-7.399773134153520004e-04,2.540948565760226785e+01
-2.428932733124398169e-01,2.530238304532455018e+01
-2.382320651679421530e-01,2.515940945398060435e+01
1.180492228078549033e-01,2.525585341866101885e+01
3.913754745642705757e-01,2.526660168407023832e+01
-9.873245648962125642e-02,2.548260273993139435e+01
-7.326669836380617085e-02,2.545970318956168299e+01
1.727535620803628547e-01,2.493249316585291453e+01
-1.142618468318058689e+00,2.580454472206536565e+01
6.366421544890457085e-01,2.520532837358642198e+01
-2.373407531489135636e-01,2.552891494571864683e+01
6.584270510950744892e-01,2.497422472546236349e+01
-8.010680502809890413e-01,2.560653108848175563e+01
-1.168343759048759978e-01,2.553686800784763733e+01
-2.656213700620035922e-01,2.515016503185650976e+01
7.890025505536257810e-02,2.555163078728213932e+01
-8.547686112092840460e-01,2.602478129263591811e+01
-6.988148684227155627e-01,2.557950618259057762e+01
5.086737533585150572e-02,2.538320223405382237e+01
5.856519390622629828e-01,2.505197863064891450e+01
2.534143168129716628e-01,2.534375404210889826e+01
-1.239925986293144433e-02,2.545451332804201883e+01
1.756256587192694951e-03,2.573801127413864975e+01
