Color,Magnitude
-1.114722941678074619e-01,2.526562671190309572e+01
-6.651377823721560389e-01,2.574008668768942698e+01
5.822688363352206409e-01,2.472176248786273334e+01
-3.729891776222373778e-01,2.543966946266278484e+01
-1.001557077543679952e-03,2.560489839795220846e+01
1.282935241576659280e-01,2.505336606221598572e+01
6.538173658531185595e-01,2.494048420316275383e+01
-8.943602432484709652e-02,2.505260123088078572e+01
8.149159570470914105e-01,2.463471458485918220e+01
-3.492462078274627402e-01,2.525106004563228979e+01
3.190463520501616301e-01,2.538661844958925684e+01
-4.112307363884930567e-01,2.539684555298564206e+01
2.665129237288361708e-01,2.494730646352076420e+01
2.832289161123426879e-01,2.422107029276478585e+01
-2.936808927980578687e-01,2.533745611988213398e+01
-6.496392891392588353e-01,2.558985816242256561e+01
1.412992518541997811e-01,2.506689411694798864e+01
8.528249268328664812e-01,2.449766933416723447e+01
4.009877586847210296e-02,2.519898462788538751e+01
-5.852024821359549378e-01,2.553184081758512747e+01
-3.337637183983446221e-01,2.521902137821013667e+01
7.191166583338315377e-01,2.490800827074922452e+01
-1.511404776640503655e-01,2.517832381686354637e+01
3.624970896261103803e-01,2.481928843067979074e+01
-2.972859157992431278e-01,2.503815913149771433e+01
-7.772100323882114026e-01,2.574294400680884110e+01
-3.058965366929840002e-01,2.527364602573161534e+01
-1.344250731780185504e-01,2.530920406242043441e+01
-5.978873955922026084e-02,2.548725149151448122e+01
-2.178615395286662704e-01,2.517966863244922493e+01
-2.207046927970779393e-02,2.497562850845883986e+01
1.171404291340678583e-01,2.504658513480600135e+01
3.555887722382635729e-01,2.536701445306528768e+01
2.023700393110168250e-01,2.504526854598185537e+01
8.608934292307637293e-01,2.503188734219538958e+01
1.209980567551802721e-01,2.478462420722440029e+01
-1.784497822043817905e-03,2.552643204584810377e+01
-2.618025296080013220e-01,2.484176431649534322e+01
4.702411724461796894e-01,2.463424696050878637e+01
-1.188923112578876840e-01,2.526738309317753561e+01
-3.582521912351168680e-01,2.524779427518700459e+01
1.069212116256217371e-01,2.521119744334354351e+01
-1.960831071256770031e-01,2.519178341600665760e+01
-3.272729965548997200e-01,2.538809799467762218e+01
3.983261912402369376e-02,2.552420884807002111e+01
-4.759326722343359961e-02,2.503314609129311918e+01
2.755200036974656541e-01,2.468189217554397175e+01
5.699070593561117448e-03,2.510985206814213555e+01
3.413766069471080300e-04,2.531887954909151972e+01
-2.766532008430395706e-01,2.502257774376623090e+01
1.285596093121199601e-01,2.553627992488518572e+01
4.359897309070248639e-02,2.463036562917562122e+01
9.023430761375905718e-02,2.508110727307919063e+01
1.114485599444599018e-01,2.508889312397611704e+01
3.900849903389769224e-01,2.491491288946720672e+01
2.751539093642243472e-01,2.502739018295775253e+01
2.403067607561162333e-01,2.461323482595850720e+01
-3.036756225959642563e-01,2.494825272641698533e+01
7.965715099083325867e-02,2.507706482621948041e+01
4.092208203649541076e-01,2.476119551317572842e+01
6.169031914826064167e-01,2.526160473355366776e+01
-6.426460919132956917e-01,2.517603751244660160e+01
2.589325022468997872e-01,2.517046123174829830e+01
5.049242533405404743e-01,2.506928831914721911e+01
6.958380912618373770e-01,2.459757730569862844e+01
-9.698387427656740556e-01,2.551506499346835355e+01
1.901854740365145346e-01,2.507840545701274593e+01
4.805776605711287175e-01,2.529614615625709106e+01
-2.462125427105270603e-01,2.521690143700210385e+01
2.162316054606030491e-01,2.516670509472604067e+01
-5.034006894289184686e-01,2.517215405695118946e+01
